"area","year","est","lwr","upr","log_est","se","se_natural","type"
"North of Point Conception",2016,56200.7061986464,48458.9178502024,65179.3213168787,10.936684601615,0.0756202355997622,56200.7061986465,"index"
"North of Point Conception",2017,57716.967934299,49757.0926439875,66950.2217777074,10.9633064809172,0.0757147498394188,57716.967934299,"index"
"North of Point Conception",2018,39442.9198378689,33811.1972547442,46012.6837158438,10.5826098383766,0.0786047770548875,39442.9198378689,"index"
"North of Point Conception",2019,42185.0688340626,34287.0614395634,51902.3782680065,10.6498216183173,0.105766368906922,42185.0688340626,"index"
"North of Point Conception",2021,48492.9968262529,41688.7450248306,56407.8083854606,10.7891746711646,0.0771382558465428,48492.9968262528,"index"
"North of Point Conception",2022,48752.1898865558,41600.0166671009,57134.0160210669,10.7945053961669,0.0809451349706515,48752.1898865558,"index"
"North of Point Conception",2023,47260.4363418169,40432.1721452601,55241.8711315951,10.7634287834917,0.079617634535518,47260.4363418169,"index"
"North of Point Conception",2024,41024.8085185774,35226.4440011833,47777.598951782,10.6219322485148,0.0777462852093207,41024.8085185775,"index"
"North of Point Conception",2025,60301.8624216492,51858.1889998197,70120.3547916442,11.0071182681695,0.0769657666268015,60301.8624216492,"index"
"South of Point Conception",2003,547.150386946307,317.182870697121,943.851555657826,6.30472369506754,0.278191442624037,547.150386946307,"index"
"South of Point Conception",2004,749.690175157908,440.530065102363,1275.81612074013,6.61966002139168,0.271270967384909,749.690175157908,"index"
"South of Point Conception",2005,719.628682428208,427.929077779537,1210.16651464885,6.57873536013168,0.265197671234361,719.628682428208,"index"
"South of Point Conception",2006,580.04550195401,338.849652763769,992.926454528905,6.36310655210814,0.274265266870088,580.04550195401,"index"
"South of Point Conception",2007,460.245801388296,268.323027464624,789.444721524999,6.13176069761269,0.275295424211866,460.245801388296,"index"
"South of Point Conception",2008,416.428578141879,247.855794501284,699.651831994465,6.03171496585043,0.26473336586019,416.428578141879,"index"
"South of Point Conception",2009,541.143968760535,336.037386791858,871.441114697415,6.29368535945228,0.243097801400211,541.143968760535,"index"
"South of Point Conception",2010,991.999057140931,639.51104988713,1538.77267569056,6.89972215682165,0.223993022559156,991.999057140931,"index"
"South of Point Conception",2011,1442.65879672721,930.935090330221,2235.67080604527,7.27424307670969,0.223500801899533,1442.65879672721,"index"
"South of Point Conception",2012,1304.91841388581,821.188009549001,2073.59587219674,7.17389579970729,0.236302156292686,1304.91841388581,"index"
"South of Point Conception",2013,2099.10122441381,1283.77907984908,3432.23068477914,7.64926454372397,0.250872533550724,2099.1012244138,"index"
"South of Point Conception",2014,2618.82564956119,1707.54996293362,4016.4258333132,7.87048127091381,0.218201162062898,2618.82564956119,"index"
"South of Point Conception",2015,2250.48593736873,1428.58127288891,3545.25643756513,7.71890144404371,0.231873816921692,2250.48593736873,"index"
"South of Point Conception",2016,2069.38343989081,1288.17097721944,3324.3629122416,7.63500598676656,0.241855129156937,2069.38343989081,"index"
"South of Point Conception",2017,2281.91297102607,1442.4514428154,3609.91479697484,7.73276939254582,0.234019635143543,2281.91297102607,"index"
"South of Point Conception",2018,1408.5804990601,868.58268645298,2284.29492468337,7.25033773801563,0.2466754259933,1408.5804990601,"index"
"South of Point Conception",2019,1522.08597740778,893.739003168272,2592.19494103828,7.32783702658158,0.271649500192931,1522.08597740778,"index"
"South of Point Conception",2021,1592.44623622445,951.380519586863,2665.47923050456,7.37302662626383,0.262817338513359,1592.44623622445,"index"
"South of Point Conception",2022,1766.43729226379,1078.81706151388,2892.3353354475,7.4767199678752,0.251586031862642,1766.4372922638,"index"
"South of Point Conception",2023,1425.00082659474,841.22910773461,2413.88147072569,7.26192767276906,0.26891495510321,1425.00082659474,"index"
"South of Point Conception",2024,1423.34245450719,862.465977530225,2348.96656283644,7.26076322585289,0.255600372261298,1423.34245450719,"index"
"South of Point Conception",2025,2263.67539997775,1441.22946617608,3555.45486456103,7.72474505447583,0.230357921771996,2263.67539997775,"index"
